cohort	ensembl_gene	gene_name	type	nr_samples	pos_z	neg_z	consensus_BTG_cancer	consensus_BTG_combined
three-cancer	ENSG00000119707	RBM25	PRAD	4	0	4		
three-cancer	ENSG00000122026	RPL21	OV	4	0	4		
three-cancer	ENSG00000122218	COPA	OV	4	4	0		
three-cancer	ENSG00000122515	ZMIZ2	PRAD	4	4	0		TRUE
three-cancer	ENSG00000123064	DDX54	OV	4	0	4		
three-cancer	ENSG00000123136	DDX39A	OV	4	0	4		
three-cancer	ENSG00000124151	NCOA3	UCEC	4	2	2		TRUE
three-cancer	ENSG00000125691	RPL23	OV	4	0	4		
three-cancer	ENSG00000125743	SNRPD2	OV	4	0	4		
three-cancer	ENSG00000125868	DSTN	OV	4	4	0		
three-cancer	ENSG00000127603	MACF1	PRAD	4	4	0		TRUE
three-cancer	ENSG00000130176	CNN1	OV	4	4	0		
three-cancer	ENSG00000130255	RPL36	OV	4	0	4		
three-cancer	ENSG00000130811	EIF3G	OV	4	0	4		
three-cancer	ENSG00000131469	RPL27	OV	4	0	4		
three-cancer	ENSG00000134516	DOCK2	OV	4	0	4		
three-cancer	ENSG00000136490	LIMD2	OV	4	0	4		
three-cancer	ENSG00000136560	TANK	OV	4	0	4		
three-cancer	ENSG00000136942	RPL35	OV	4	0	4		
three-cancer	ENSG00000138385	SSB	OV	4	0	4		
three-cancer	ENSG00000138801	PAPSS1	OV	4	4	0		TRUE
three-cancer	ENSG00000140988	RPS2	OV	4	0	4		
three-cancer	ENSG00000141543	EIF4A3	OV	4	0	4		
three-cancer	ENSG00000142541	RPL13A	OV	4	0	4		
three-cancer	ENSG00000142937	RPS8	OV	4	0	4		
three-cancer	ENSG00000143418	CERS2	OV	4	4	0		TRUE
three-cancer	ENSG00000143575	HAX1	OV	4	0	4		TRUE
three-cancer	ENSG00000144713	RPL32	OV	4	0	4		
three-cancer	ENSG00000145287	PLAC8	OV	4	0	4		TRUE
three-cancer	ENSG00000146066	HIGD2A	OV	4	0	4		
three-cancer	ENSG00000148303	RPL7A	OV	4	0	4		
three-cancer	ENSG00000149179	C11orf49	OV	4	4	0		
three-cancer	ENSG00000150593	PDCD4	OV	4	0	4		TRUE
three-cancer	ENSG00000161970	RPL26	OV	4	0	4		
three-cancer	ENSG00000162244	RPL29	OV	4	0	4		
three-cancer	ENSG00000163220	S100A9	PRAD	4	0	4		
three-cancer	ENSG00000163412	EIF4E3	OV	4	0	4		TRUE
three-cancer	ENSG00000164587	RPS14	OV	4	0	4		
three-cancer	ENSG00000165929	TC2N	OV	4	4	0	TRUE	
three-cancer	ENSG00000167088	SNRPD1	PRAD	4	0	4		TRUE
three-cancer	ENSG00000167526	RPL13	OV	4	0	4		
three-cancer	ENSG00000168298	HIST1H1E	PRAD	4	0	4		TRUE
three-cancer	ENSG00000168918	INPP5D	OV	4	0	4		
three-cancer	ENSG00000169047	IRS1	PRAD	4	4	0		
three-cancer	ENSG00000169220	RGS14	OV	4	0	4		
three-cancer	ENSG00000169718	DUS1L	OV	4	0	4		TRUE
three-cancer	ENSG00000169976	SF3B5	PRAD	4	0	4		TRUE
three-cancer	ENSG00000170027	YWHAG	OV	4	4	0		TRUE
three-cancer	ENSG00000170889	RPS9	OV	4	0	4		
three-cancer	ENSG00000171345	KRT19	OV	4	4	0	TRUE	
three-cancer	ENSG00000171843	MLLT3	OV	4	4	0		TRUE
three-cancer	ENSG00000171843	MLLT3	UCEC	4	2	2		TRUE
three-cancer	ENSG00000171858	RPS21	OV	4	0	4		
three-cancer	ENSG00000171863	RPS7	OV	4	0	4		
three-cancer	ENSG00000171940	ZNF217	OV	4	0	4		
three-cancer	ENSG00000173457	PPP1R14B	OV	4	0	4		TRUE
three-cancer	ENSG00000175463	TBC1D10C	OV	4	0	4	TRUE	
three-cancer	ENSG00000177469	CAVIN1	PRAD	4	4	0		TRUE
three-cancer	ENSG00000177600	RPLP2	OV	4	0	4		
three-cancer	ENSG00000178732	GP5	PRAD	4	4	0		TRUE
three-cancer	ENSG00000178982	EIF3K	OV	4	0	4		
three-cancer	ENSG00000179271	GADD45GIP1	OV	4	0	4		TRUE
three-cancer	ENSG00000182774	RPS17	OV	4	0	4		
three-cancer	ENSG00000184260	HIST2H2AC	OV	4	0	4		
three-cancer	ENSG00000184990	SIVA1	OV	4	0	4		
three-cancer	ENSG00000185811	IKZF1	OV	4	0	4		
three-cancer	ENSG00000185989	RASA3	OV	4	4	0		
three-cancer	ENSG00000185989	RASA3	UCEC	4	4	0		
three-cancer	ENSG00000187764	SEMA4D	OV	4	4	0		TRUE
three-cancer	ENSG00000187764	SEMA4D	PRAD	4	4	0		TRUE
three-cancer	ENSG00000188846	RPL14	OV	4	0	4		
three-cancer	ENSG00000196531	NACA	OV	4	0	4		
three-cancer	ENSG00000197798	FAM118B	OV	4	4	0		TRUE
three-cancer	ENSG00000198918	RPL39	OV	4	0	4		
three-cancer	ENSG00000198931	APRT	OV	4	0	4		TRUE
three-cancer	ENSG00000203814	HIST2H2BF	OV	4	0	4		
three-cancer	ENSG00000205250	E2F4	OV	4	0	4		
three-cancer	ENSG00000205302	SNX2	PRAD	4	0	4		TRUE
three-cancer	ENSG00000205978	NYNRIN	PRAD	4	4	0	TRUE	
three-cancer	ENSG00000213741	RPS29	OV	4	0	4		
three-cancer	ENSG00000231500	RPS18	OV	4	0	4		
three-cancer	ENSG00000255302	EID1	PRAD	4	4	0		TRUE
three-cancer	ENSG00000274618	HIST1H4F	OV	4	0	4		
three-cancer	ENSG00000001461	NIPAL3	OV	3	3	0		TRUE
three-cancer	ENSG00000006715	VPS41	OV	3	3	0		
three-cancer	ENSG00000023287	RB1CC1	UCEC	3	0	3		
three-cancer	ENSG00000026025	VIM	OV	3	0	3		
three-cancer	ENSG00000028277	POU2F2	OV	3	0	3		
three-cancer	ENSG00000036054	TBC1D23	OV	3	3	0		
three-cancer	ENSG00000038382	TRIO	OV	3	3	0		
three-cancer	ENSG00000038382	TRIO	UCEC	3	3	0		
three-cancer	ENSG00000058063	ATP11B	OV	3	3	0		
three-cancer	ENSG00000058063	ATP11B	UCEC	3	1	2		
three-cancer	ENSG00000060762	MPC1	UCEC	3	2	1		
three-cancer	ENSG00000068724	TTC7A	OV	3	0	3		
three-cancer	ENSG00000068724	TTC7A	UCEC	3	0	3		
three-cancer	ENSG00000068831	RASGRP2	UCEC	3	3	0		
three-cancer	ENSG00000071082	RPL31	OV	3	0	3		
three-cancer	ENSG00000072506	HSD17B10	OV	3	0	3		
three-cancer	ENSG00000072786	STK10	OV	3	0	3		
three-cancer	ENSG00000072803	FBXW11	OV	3	3	0		
three-cancer	ENSG00000076928	ARHGEF1	OV	3	0	3		
three-cancer	ENSG00000077150	NFKB2	OV	3	0	3		
three-cancer	ENSG00000079263	SP140	OV	3	0	3		
three-cancer	ENSG00000079819	EPB41L2	UCEC	3	2	1		TRUE
three-cancer	ENSG00000082153	BZW1	PRAD	3	0	3		
three-cancer	ENSG00000083828	ZNF586	UCEC	3	1	2		
three-cancer	ENSG00000084623	EIF3I	OV	3	0	3		
three-cancer	ENSG00000084623	EIF3I	UCEC	3	0	3		
three-cancer	ENSG00000086189	DIMT1	UCEC	3	3	0		
three-cancer	ENSG00000087087	SRRT	UCEC	3	0	3		TRUE
three-cancer	ENSG00000087365	SF3B2	OV	3	0	3		
three-cancer	ENSG00000088448	ANKRD10	PRAD	3	3	0		
three-cancer	ENSG00000088766	CRLS1	UCEC	3	2	1		
three-cancer	ENSG00000089053	ANAPC5	OV	3	3	0		
three-cancer	ENSG00000089280	FUS	OV	3	0	3		
three-cancer	ENSG00000090266	NDUFB2	OV	3	0	3		
three-cancer	ENSG00000091140	DLD	PRAD	3	0	3		
three-cancer	ENSG00000092010	PSME1	OV	3	0	3		
three-cancer	ENSG00000092621	PHGDH	UCEC	3	3	0		
three-cancer	ENSG00000095319	NUP188	UCEC	3	1	2		
three-cancer	ENSG00000099875	MKNK2	OV	3	0	3		
three-cancer	ENSG00000099901	RANBP1	OV	3	0	3		
three-cancer	ENSG00000099901	RANBP1	PRAD	3	0	3		
three-cancer	ENSG00000100239	PPP6R2	OV	3	0	3		
three-cancer	ENSG00000100300	TSPO	OV	3	0	3		
three-cancer	ENSG00000100316	RPL3	OV	3	0	3		
three-cancer	ENSG00000100519	PSMC6	UCEC	3	0	3		
three-cancer	ENSG00000100994	PYGB	OV	3	3	0		
three-cancer	ENSG00000102103	PQBP1	PRAD	3	0	3		TRUE
three-cancer	ENSG00000102103	PQBP1	UCEC	3	0	3		TRUE
three-cancer	ENSG00000102763	VWA8	OV	3	3	0		
three-cancer	ENSG00000102879	CORO1A	OV	3	0	3		
three-cancer	ENSG00000102978	POLR2C	OV	3	0	3		
three-cancer	ENSG00000104518	GSDMD	OV	3	0	3		
three-cancer	ENSG00000104852	SNRNP70	OV	3	0	3		
three-cancer	ENSG00000105968	H2AFV	OV	3	0	3		
three-cancer	ENSG00000107223	EDF1	OV	3	0	3		
three-cancer	ENSG00000107581	EIF3A	OV	3	0	3		
three-cancer	ENSG00000107581	EIF3A	UCEC	3	0	3		
three-cancer	ENSG00000108100	CCNY	OV	3	3	0		
three-cancer	ENSG00000108561	C1QBP	OV	3	0	3		
three-cancer	ENSG00000109971	HSPA8	OV	3	0	3		
three-cancer	ENSG00000110321	EIF4G2	OV	3	3	0		
three-cancer	ENSG00000110665	C11orf21	OV	3	3	0		TRUE
three-cancer	ENSG00000110665	C11orf21	UCEC	3	3	0		TRUE
three-cancer	ENSG00000110700	RPS13	OV	3	0	3		
three-cancer	ENSG00000111142	METAP2	UCEC	3	0	3		
three-cancer	ENSG00000111252	SH2B3	OV	3	3	0		
three-cancer	ENSG00000111276	CDKN1B	OV	3	0	3		
three-cancer	ENSG00000111596	CNOT2	UCEC	3	0	3		
three-cancer	ENSG00000111640	GAPDH	PRAD	3	3	0		TRUE
three-cancer	ENSG00000111640	GAPDH	UCEC	3	3	0		TRUE
three-cancer	ENSG00000111674	ENO2	PRAD	3	3	0		TRUE
three-cancer	ENSG00000111859	NEDD9	OV	3	0	3		
three-cancer	ENSG00000112306	RPS12	OV	3	0	3		
three-cancer	ENSG00000112679	DUSP22	OV	3	3	0		
three-cancer	ENSG00000112787	FBRSL1	OV	3	3	0		
three-cancer	ENSG00000113141	IK	OV	3	0	3		
three-cancer	ENSG00000113141	IK	UCEC	3	0	3		
three-cancer	ENSG00000113658	SMAD5	PRAD	3	3	0		
three-cancer	ENSG00000114861	FOXP1	UCEC	3	0	3		
three-cancer	ENSG00000115053	NCL	OV	3	0	3		
three-cancer	ENSG00000115128	SF3B6	OV	3	0	3		TRUE
three-cancer	ENSG00000115306	SPTBN1	OV	3	3	0		TRUE
three-cancer	ENSG00000115307	AUP1	OV	3	0	3		
three-cancer	ENSG00000115839	RAB3GAP1	UCEC	3	2	1		
three-cancer	ENSG00000115875	SRSF7	OV	3	0	3		
three-cancer	ENSG00000116117	PARD3B	OV	3	3	0		
three-cancer	ENSG00000116117	PARD3B	PRAD	3	3	0		
three-cancer	ENSG00000116251	RPL22	OV	3	0	3		
three-cancer	ENSG00000116584	ARHGEF2	OV	3	0	3		
three-cancer	ENSG00000116679	IVNS1ABP	OV	3	3	0		
three-cancer	ENSG00000117118	SDHB	OV	3	0	3		
three-cancer	ENSG00000117298	ECE1	OV	3	3	0		
three-cancer	ENSG00000117448	AKR1A1	OV	3	0	3		
three-cancer	ENSG00000117748	RPA2	OV	3	0	3		
three-cancer	ENSG00000120533	ENY2	OV	3	0	3		
three-cancer	ENSG00000120533	ENY2	PRAD	3	0	3		
three-cancer	ENSG00000120899	PTK2B	OV	3	0	3		
three-cancer	ENSG00000121774	KHDRBS1	OV	3	0	3		
three-cancer	ENSG00000121892	PDS5A	OV	3	3	0		
three-cancer	ENSG00000122122	SASH3	OV	3	0	3		
three-cancer	ENSG00000123136	DDX39A	UCEC	3	0	3		
three-cancer	ENSG00000123143	PKN1	OV	3	0	3		
three-cancer	ENSG00000123472	ATPAF1	PRAD	3	3	0		
three-cancer	ENSG00000124151	NCOA3	OV	3	3	0		TRUE
three-cancer	ENSG00000124172	ATP5F1E	PRAD	3	0	3		
three-cancer	ENSG00000124228	DDX27	OV	3	0	3		
three-cancer	ENSG00000124575	HIST1H1D	OV	3	0	3		
three-cancer	ENSG00000125378	BMP4	UCEC	3	3	0		
three-cancer	ENSG00000125656	CLPP	OV	3	0	3		
three-cancer	ENSG00000126756	UXT	OV	3	0	3		
three-cancer	ENSG00000127603	MACF1	UCEC	3	3	0		TRUE
three-cancer	ENSG00000128340	RAC2	PRAD	3	0	3		TRUE
three-cancer	ENSG00000128789	PSMG2	OV	3	0	3		
three-cancer	ENSG00000129968	ABHD17A	UCEC	3	3	0		
three-cancer	ENSG00000132002	DNAJB1	OV	3	0	3		
three-cancer	ENSG00000132359	RAP1GAP2	OV	3	3	0		TRUE
three-cancer	ENSG00000132432	SEC61G	OV	3	0	3		
three-cancer	ENSG00000132432	SEC61G	PRAD	3	0	3		
three-cancer	ENSG00000132780	NASP	OV	3	0	3		
three-cancer	ENSG00000133243	BTBD2	UCEC	3	3	0		
three-cancer	ENSG00000134186	PRPF38B	OV	3	0	3		
three-cancer	ENSG00000134697	GNL2	OV	3	0	3		
three-cancer	ENSG00000134697	GNL2	UCEC	3	0	3		
three-cancer	ENSG00000135090	TAOK3	PRAD	3	3	0		TRUE
three-cancer	ENSG00000135940	COX5B	OV	3	0	3		
three-cancer	ENSG00000136286	MYO1G	OV	3	0	3		
three-cancer	ENSG00000136295	TTYH3	OV	3	3	0		
three-cancer	ENSG00000136826	KLF4	OV	3	0	3		
three-cancer	ENSG00000136930	PSMB7	OV	3	0	3		
three-cancer	ENSG00000136930	PSMB7	UCEC	3	0	3		
three-cancer	ENSG00000136938	ANP32B	OV	3	3	0		
three-cancer	ENSG00000137154	RPS6	OV	3	0	3		
three-cancer	ENSG00000137193	PIM1	OV	3	0	3		
three-cancer	ENSG00000137309	HMGA1	PRAD	3	0	3		
three-cancer	ENSG00000138071	ACTR2	OV	3	3	0		
three-cancer	ENSG00000138286	FAM149B1	OV	3	3	0		
three-cancer	ENSG00000138326	RPS24	OV	3	0	3		
three-cancer	ENSG00000138385	SSB	PRAD	3	0	3		
three-cancer	ENSG00000138385	SSB	UCEC	3	0	3		
three-cancer	ENSG00000138964	PARVG	OV	3	0	3		
three-cancer	ENSG00000139737	SLAIN1	OV	3	0	3		
three-cancer	ENSG00000141562	NARF	PRAD	3	0	3		TRUE
three-cancer	ENSG00000142327	RNPEPL1	PRAD	3	3	0		
three-cancer	ENSG00000142507	PSMB6	OV	3	0	3		
three-cancer	ENSG00000142534	RPS11	OV	3	0	3		
three-cancer	ENSG00000142676	RPL11	OV	3	0	3		
three-cancer	ENSG00000143256	PFDN2	OV	3	0	3		
three-cancer	ENSG00000143546	S100A8	OV	3	0	3		TRUE
three-cancer	ENSG00000143575	HAX1	UCEC	3	0	3		TRUE
three-cancer	ENSG00000144021	CIAO1	OV	3	0	3		
three-cancer	ENSG00000144021	CIAO1	UCEC	3	0	3		
three-cancer	ENSG00000144028	SNRNP200	OV	3	0	3		
three-cancer	ENSG00000145494	NDUFS6	OV	3	0	3		
three-cancer	ENSG00000145592	RPL37	OV	3	0	3		
three-cancer	ENSG00000148481	MINDY3	OV	3	3	0		
three-cancer	ENSG00000149273	RPS3	OV	3	0	3		
three-cancer	ENSG00000149781	FERMT3	PRAD	3	3	0		
three-cancer	ENSG00000149806	FAU	OV	3	0	3		
three-cancer	ENSG00000150316	CWC15	OV	3	0	3		
three-cancer	ENSG00000150316	CWC15	PRAD	3	0	3		
three-cancer	ENSG00000150593	PDCD4	UCEC	3	0	3		TRUE
three-cancer	ENSG00000150712	MTMR12	OV	3	3	0		
three-cancer	ENSG00000150753	CCT5	OV	3	0	3		
three-cancer	ENSG00000151247	EIF4E	OV	3	3	0		
three-cancer	ENSG00000152082	MZT2B	OV	3	0	3		
three-cancer	ENSG00000152804	HHEX	PRAD	3	3	0		
three-cancer	ENSG00000152804	HHEX	UCEC	3	3	0		
three-cancer	ENSG00000154518	ATP5MC3	OV	3	0	3		
three-cancer	ENSG00000154822	PLCL2	PRAD	3	0	3		TRUE
three-cancer	ENSG00000154822	PLCL2	UCEC	3	0	3		TRUE
three-cancer	ENSG00000155463	OXA1L	UCEC	3	0	3		
three-cancer	ENSG00000155876	RRAGA	OV	3	0	3		
three-cancer	ENSG00000156206	CFAP161	OV	3	3	0		
three-cancer	ENSG00000157554	ERG	UCEC	3	1	2		
three-cancer	ENSG00000159176	CSRP1	PRAD	3	3	0		
three-cancer	ENSG00000160190	SLC37A1	OV	3	3	0		
three-cancer	ENSG00000160209	PDXK	OV	3	0	3	TRUE	
three-cancer	ENSG00000161016	RPL8	OV	3	0	3		
three-cancer	ENSG00000162191	UBXN1	OV	3	0	3		
three-cancer	ENSG00000162496	DHRS3	UCEC	3	3	0		
three-cancer	ENSG00000163374	YY1AP1	PRAD	3	3	0		
three-cancer	ENSG00000163412	EIF4E3	PRAD	3	0	3		TRUE
three-cancer	ENSG00000163584	RPL22L1	OV	3	0	3		
three-cancer	ENSG00000163590	PPM1L	PRAD	3	3	0		
three-cancer	ENSG00000163682	RPL9	OV	3	0	3		
three-cancer	ENSG00000164442	CITED2	OV	3	0	3		
three-cancer	ENSG00000164754	RAD21	UCEC	3	0	3		
three-cancer	ENSG00000165071	TMEM71	PRAD	3	0	3		
three-cancer	ENSG00000165283	STOML2	OV	3	0	3		
three-cancer	ENSG00000165502	RPL36AL	OV	3	0	3		
three-cancer	ENSG00000165527	ARF6	UCEC	3	0	3		
three-cancer	ENSG00000165916	PSMC3	OV	3	0	3		
three-cancer	ENSG00000165916	PSMC3	UCEC	3	0	3		
three-cancer	ENSG00000166197	NOLC1	OV	3	0	3		
three-cancer	ENSG00000166441	RPL27A	OV	3	0	3		
three-cancer	ENSG00000167088	SNRPD1	OV	3	0	3		TRUE
three-cancer	ENSG00000167460	TPM4	OV	3	3	0		
three-cancer	ENSG00000167522	ANKRD11	PRAD	3	3	0		
three-cancer	ENSG00000167658	EEF2	OV	3	0	3		
three-cancer	ENSG00000167969	ECI1	UCEC	3	0	3		
three-cancer	ENSG00000168002	POLR2G	OV	3	3	0		
three-cancer	ENSG00000168028	RPSA	OV	3	0	3		
three-cancer	ENSG00000168961	LGALS9	OV	3	0	3		
three-cancer	ENSG00000169100	SLC25A6	OV	3	0	3		
three-cancer	ENSG00000169230	PRELID1	OV	3	0	3		
three-cancer	ENSG00000169567	HINT1	OV	3	0	3		
three-cancer	ENSG00000169714	CNBP	OV	3	0	3		
three-cancer	ENSG00000169738	DCXR	PRAD	3	0	3		
three-cancer	ENSG00000169764	UGP2	OV	3	3	0		
three-cancer	ENSG00000170962	PDGFD	OV	3	3	0		
three-cancer	ENSG00000171530	TBCA	OV	3	0	3		TRUE
three-cancer	ENSG00000171530	TBCA	PRAD	3	0	3		TRUE
three-cancer	ENSG00000172809	RPL38	OV	3	0	3		
three-cancer	ENSG00000172819	RARG	PRAD	3	3	0		
three-cancer	ENSG00000175567	UCP2	OV	3	3	0		
three-cancer	ENSG00000176101	SSNA1	OV	3	0	3		
three-cancer	ENSG00000176393	RNPEP	OV	3	0	3		
three-cancer	ENSG00000177311	ZBTB38	PRAD	3	3	0		
three-cancer	ENSG00000178913	TAF7	UCEC	3	0	3		
three-cancer	ENSG00000178952	TUFM	OV	3	0	3		
three-cancer	ENSG00000179091	CYC1	OV	3	0	3		
three-cancer	ENSG00000179144	GIMAP7	OV	3	0	3		
three-cancer	ENSG00000179262	RAD23A	OV	3	0	3		
three-cancer	ENSG00000179950	PUF60	OV	3	0	3		
three-cancer	ENSG00000180694	TMEM64	PRAD	3	3	0		
three-cancer	ENSG00000182093	GET1	PRAD	3	3	0		
three-cancer	ENSG00000182199	SHMT2	OV	3	0	3		
three-cancer	ENSG00000182866	LCK	OV	3	0	3		
three-cancer	ENSG00000182934	SRPRA	OV	3	3	0		
three-cancer	ENSG00000182944	EWSR1	OV	3	0	3		
